# 40m seismic noise from elog
# Charles
# 2013-06-28
# https://nodus.ligo.caltech.edu:8081/40m/8786
# Frequency__Hz, Mean_Displacement__m_per_rtHz, stdev_Displacement__m_per_rtHz
1.50218748, 5.39534340691334e-10, 1.88727000177097e-10
1.51781248, 5.26151425670546e-10, 1.08769037785916e-10
1.53343748, 4.77359025746528e-10, 9.9891893581106e-11
1.54906248, 5.45729152884094e-10, 1.13441493632658e-10
1.5666406, 4.9686411768441e-10, 1.13613708551621e-10
1.58617185, 5.1275681411286e-10, 5.32456285833939e-11
1.6057031, 4.79191908070653e-10, 6.8366416742988e-11
1.62523435, 4.71103243763378e-10, 9.33639565977181e-11
1.6447656, 4.41484417985878e-10, 7.54321293572697e-11
1.66429685, 4.46590326851211e-10, 7.88395656788349e-11
1.6838281, 4.35639544055087e-10, 6.79106422344106e-11
1.70335935, 4.6597315868213e-10, 8.13578001524626e-11
1.7228906, 4.55059496528609e-10, 1.72577229216602e-10
1.74242185, 4.3197588457039e-10, 1.00680740593025e-10
1.7619531, 4.17862879979646e-10, 9.08263201549956e-11
1.78148435, 4.33846826518007e-10, 8.67830885512162e-11
1.8010156, 4.58712471829285e-10, 7.24896429395748e-11
1.82054685, 4.17380780791241e-10, 5.36166150357224e-11
1.8400781, 4.31682096849627e-10, 5.83702630434573e-11
1.85960935, 4.1202403720913e-10, 9.28904728054747e-11
1.8791406, 4.08834671518447e-10, 6.30823891690852e-11
1.89867185, 4.12517002100134e-10, 8.03493348951503e-11
1.9182031, 4.16259976691157e-10, 1.05335687561003e-10
1.93773435, 4.28198290268317e-10, 7.04006928416535e-11
1.95921872857143, 4.69709554513911e-10, 7.04686727635397e-11
1.98265622857143, 6.49877542217218e-10, 1.01396454372447e-10
2.00609372857143, 6.2580314459197e-10, 1.17590861800038e-10
2.02953122857143, 4.85303302681092e-10, 1.10564389182977e-10
2.05296872857143, 3.39460463571318e-10, 5.22195668630951e-11
2.07640622857143, 3.53749636514965e-10, 9.30679613235622e-11
2.09984372857143, 3.83598601585437e-10, 7.39862064433452e-11
2.12328122857143, 3.64537854604306e-10, 5.38369209828118e-11
2.14671872857143, 3.49998431674057e-10, 6.5912095602658e-11
2.17015622857143, 3.47771500335316e-10, 8.24687419065078e-11
2.19359372857143, 3.50701965679339e-10, 3.91449606844892e-11
2.21703122857143, 3.31615997405989e-10, 3.18449065663894e-11
2.24046872857143, 3.44931096061938e-10, 6.80162722911145e-11
2.26390622857143, 3.56937484831573e-10, 6.06393678530285e-11
2.28734372857143, 3.56391080793733e-10, 3.75439313176453e-11
2.31078122857143, 3.62159350486005e-10, 1.90882858527365e-11
2.33617185, 3.56074022439641e-10, 2.92723453316646e-11
2.3635156, 3.77306388978473e-10, 4.31020289895219e-11
2.39085935, 3.53230222653483e-10, 5.0099452501166e-11
2.4182031, 3.9604836368955e-10, 5.49753193798831e-11
2.44554685, 3.52648538358251e-10, 5.65313891100102e-11
2.4728906, 3.62231280381995e-10, 9.00043299392016e-11
2.50023435, 3.88646620766119e-10, 4.64545930136006e-11
2.5275781, 4.19350158839899e-10, 5.58887656727481e-11
2.55492185, 4.47212344759708e-10, 8.38866107179879e-11
2.5822656, 4.34899145318603e-10, 8.67781487828316e-11
2.60960935, 4.61828516353223e-10, 8.67114773457985e-11
2.6369531, 4.92913811028781e-10, 9.14693833541859e-11
2.66429685, 5.53099352686919e-10, 1.01715331345402e-10
2.6916406, 5.47980465318184e-10, 6.90329878286406e-11
2.71898435, 6.08232638847183e-10, 1.71898175478689e-10
2.74828122222222, 5.62504235038971e-10, 1.34469892810114e-10
2.77953122222222, 4.80430633428098e-10, 1.03361904742266e-10
2.81078122222222, 4.59408605145401e-10, 9.75809932671084e-11
2.84203122222222, 5.08417542654885e-10, 1.17808251201565e-10
2.87328122222222, 4.48571364311003e-10, 9.47117075764724e-11
2.90453122222222, 5.2612125900378e-10, 1.6419845775047e-10
2.93578122222222, 5.13370352784184e-10, 1.52093968203123e-10
2.96703122222222, 4.78266005800088e-10, 8.85027070709718e-11
2.99828122222222, 5.29968210844314e-10, 8.72480367936214e-11
3.02953122222222, 5.63372508705963e-10, 1.09477986468246e-10
3.06078122222222, 5.82926968622027e-10, 1.66932469888661e-10
3.09203122222222, 5.93027499234265e-10, 1.53803919354612e-10
3.12523435, 6.6001510468133e-10, 1.8098934965816e-10
3.1603906, 6.36673382106481e-10, 1.86326748532268e-10
3.19554685, 6.96314992438891e-10, 1.6980858331322e-10
3.2307031, 7.65170972187287e-10, 2.16459807821489e-10
3.26585935, 6.79042318983364e-10, 2.307732727566e-10
3.3010156, 6.681644981294e-10, 2.044998391103e-10
3.33617185, 7.38057571601751e-10, 1.4418265746998e-10
3.3713281, 7.35045800620618e-10, 1.63973652887022e-11
3.40648435, 8.63589225356521e-10, 1.05082778198646e-10
3.4416406, 8.2381527974614e-10, 6.28709091905289e-11
3.47679685, 7.58408535278695e-10, 3.59477896828545e-11
3.51390622727273, 6.60347987855189e-10, 1.00217933506184e-10
3.55296872727273, 5.55037772000569e-10, 1.86498854827144e-10
3.59203122727273, 4.44137158576657e-10, 1.28346910168088e-10
3.63109372727273, 4.40219804464358e-10, 1.38428647652025e-10
3.67015622727273, 3.83137403513867e-10, 8.47515679373697e-11
3.70921872727273, 3.4245947317479e-10, 8.4206084341727e-11
3.74828122727273, 3.54811101171917e-10, 6.7967797324694e-11
3.78734372727273, 3.43332659844921e-10, 7.37953498166671e-11
3.82640622727273, 3.15843168093655e-10, 6.46661398721808e-11
3.86546872727273, 2.9561758456382e-10, 6.06725786361744e-11
3.90648435, 2.83524656110912e-10, 5.68136251690679e-11
3.9494531, 2.78187139407121e-10, 8.38686006868813e-11
3.99242193333333, 2.65080256833343e-10, 7.44753691645695e-11
4.03539085, 2.68710940498617e-10, 6.36001074265912e-11
4.0783596, 2.624475408712e-10, 4.38545606006325e-11
4.12132835, 2.73025485482339e-10, 3.47435655307279e-11
4.1642971, 2.91173873370474e-10, 5.5572113543766e-11
4.20726585, 2.57024788626427e-10, 3.0983476356154e-11
4.2502346, 2.89159841928644e-10, 5.7295048773903e-11
4.29515647692308, 2.53166961494145e-10, 6.75526397727125e-11
4.34203147692308, 2.41980166053916e-10, 5.11028479994349e-11
4.38890647692308, 2.40781513798059e-10, 5.79280140072865e-11
4.43578147692308, 2.44474292213862e-10, 6.21207700274907e-11
4.48265647692308, 2.39176594540832e-10, 6.00707699614708e-11
4.52953147692308, 2.19073604703653e-10, 5.9278428226642e-11
4.57640647692308, 2.1181543851956e-10, 4.96427929138326e-11
4.62328147692308, 2.08221819818483e-10, 5.68949516500178e-11
4.6721096, 2.00928143051197e-10, 5.24935112154789e-11
4.72289085, 1.99360523515589e-10, 4.86472075618814e-11
4.7736721, 2.06298119478421e-10, 3.4894673410879e-11
4.82445335, 2.05909139454223e-10, 4.09250829591816e-11
4.8752346, 1.9805885907174e-10, 4.00143659519137e-11
4.92601585, 2.09180977377979e-10, 4.46258478852942e-11
4.9767971, 1.78178334536604e-10, 2.76476667110803e-11
5.02757835, 1.92429543390237e-10, 3.81099216543009e-11
5.08031272666667, 1.79414595605734e-10, 2.80251662988685e-11
5.13500022666667, 1.68476319936568e-10, 3.29313215858828e-11
5.18968772666667, 1.8049362697866e-10, 3.67240679404866e-11
5.24437522666667, 1.72664755850117e-10, 3.52345501943586e-11
5.29906272666667, 1.61722623609076e-10, 3.07590704081201e-11
5.35375022666667, 1.62040416158999e-10, 3.32713761011166e-11
5.40843772666667, 1.51824428056195e-10, 2.87870171366533e-11
5.46507835, 5.86303265075133e-10, 3.1466088770626e-10
5.5236721, 1.5885686250757e-10, 3.90594384220444e-11
5.58226585, 1.61743348644734e-10, 4.01126993854142e-11
5.6408596, 1.54247774620003e-10, 4.03840736858748e-11
5.69945335, 1.50855904172138e-10, 4.1111369910295e-11
5.7580471, 1.5676383119329e-10, 4.08594920882574e-11
5.81664085, 1.47299563097791e-10, 3.58234325168778e-11
5.87718772352941, 1.43971090663643e-10, 3.11763573758622e-11
5.93968772352941, 1.57645390456392e-10, 3.36962989047771e-11
6.00218772352941, 1.52010161204227e-10, 3.09704963833488e-11
6.06468772352941, 1.29563660868803e-10, 2.9635045138441e-11
6.12718772352941, 1.45630620241414e-10, 3.39030892785964e-11
6.18968772352941, 1.3238738949826e-10, 3.0999555259646e-11
6.25414085, 1.40386352673784e-10, 4.50890679031508e-11
6.3205471, 1.27685956185549e-10, 4.03608526364707e-11
6.38695335, 1.69766300688654e-10, 6.35522752859072e-11
6.4533596, 1.96020039685879e-10, 9.24856990288767e-11
6.51976585, 1.36200702878339e-10, 4.94459279180769e-11
6.5861721, 1.3291690337456e-10, 4.93459130816648e-11
6.65453147368421, 1.76533309274645e-10, 6.9920414838626e-11
6.72484397368421, 2.21485905056869e-10, 8.2091556889117e-11
6.79515647368421, 1.5072970190359e-10, 4.07773474498768e-11
6.86546897368421, 2.03517682179251e-10, 6.81818477971013e-11
6.93578147368421, 1.53055048567681e-10, 6.46363866540413e-11
7.0080471, 1.66352807418926e-10, 7.73640689159913e-11
7.08226585, 1.11859324920458e-10, 3.21534126896373e-11
7.1564846, 1.12529309857556e-10, 2.48544845169495e-11
7.23070335, 1.0949736485086e-10, 3.1994966948068e-11
7.3049221, 1.26585721286165e-10, 4.14324877235138e-11
7.37914085, 1.09896952857872e-10, 3.84143779086815e-11
7.45531272380952, 3.75160475058953e-10, 2.26869406213265e-10
7.53343772380952, 1.1469528471095e-10, 3.65260544615702e-11
7.61156272380952, 1.65971952238118e-10, 4.31300105505761e-11
7.68968772380952, 1.15450708769207e-10, 3.43739826173844e-11
7.76781272380952, 1.22109475181107e-10, 3.6810663054802e-11
7.84789085, 1.31911624517814e-10, 3.45030479585938e-11
7.9299221, 1.40547696905601e-10, 3.46548941179641e-11
8.01195335, 1.37910565849274e-10, 3.12635556805068e-11
8.0939846, 1.36397072826387e-10, 2.81754795027718e-11
8.17796897391304, 1.39711872960319e-10, 3.60834607484888e-11
8.26390647391304, 1.4493666553922e-10, 4.5391954280683e-11
8.34984397391304, 1.38509358928087e-10, 5.65820279274496e-11
8.43578147391304, 1.49363041329289e-10, 5.33816420919948e-11
8.52171897391304, 1.51733090971691e-10, 5.17204650960766e-11
8.6096096, 1.45320854790773e-10, 5.5220198627797e-11
8.69945335, 1.4156147484116e-10, 5.21920064946872e-11
8.7892971, 1.1302681140776e-10, 4.72108507799871e-11
8.87914085, 1.21557402203062e-10, 4.68069600565532e-11
8.970937724, 1.16750204873158e-10, 5.12942828510862e-11
9.064687724, 1.13682396903093e-10, 5.16645243078707e-11
9.158437724, 1.11001133325752e-10, 4.79446342964532e-11
9.252187724, 1.1634744800493e-10, 5.59647783495198e-11
9.34789085, 1.20785882639844e-10, 5.3151729899579e-11
9.4455471, 1.44513745484579e-10, 6.71136523066816e-11
9.54320335, 1.48028571318094e-10, 7.35224726344405e-11
9.6408596, 1.51444871112139e-10, 7.7788989543423e-11
9.74046897407407, 1.37937571749522e-10, 6.94421316609659e-11
9.84203147407407, 1.26878143282195e-10, 5.09033202927689e-11
9.94359397407407, 1.20494811796677e-10, 5.55710725477564e-11
10.0451563962963, 1.26698814223777e-10, 6.77736024669141e-11
10.148672, 1.1369551852153e-10, 4.13749830065826e-11
10.25414075, 1.1188882679148e-10, 5.32154636679977e-11
10.3596095, 1.10052388144113e-10, 5.62592556083595e-11
10.46507825, 1.16071064320005e-10, 5.8543355370046e-11
10.572500137931, 1.07091716099017e-10, 5.37643913462752e-11
10.681875137931, 1.15725759353843e-10, 6.47110881786704e-11
10.791250137931, 1.08715382456376e-10, 5.33162535645884e-11
10.9025782666667, 1.17320664253715e-10, 6.29340512314755e-11
11.0158595, 1.13707863546775e-10, 6.86315559243407e-11
11.1291407333333, 1.41298146976744e-10, 8.88944081696938e-11
11.242422, 1.1798845158409e-10, 7.55886604154979e-11
11.3576563870968, 1.09150742711484e-10, 6.18042729642827e-11
11.4748438709677, 1.45479200721697e-10, 8.52794296021601e-11
11.5920313870968, 1.06979285160846e-10, 5.2373700588718e-11
11.711172, 1.17115454792017e-10, 5.77628744391578e-11
11.83226575, 1.0396378617062e-10, 5.35954783397601e-11
11.9533595, 9.81373755675065e-11, 4.85585473686778e-11
12.0764063636364, 1.00692149105722e-10, 5.31222977071819e-11
12.2014063636364, 1.36721676798565e-10, 8.45899966132135e-11
12.3264063636364, 1.10462776082172e-10, 6.04083573970349e-11
12.4533595, 9.95489196346477e-11, 4.92981374591244e-11
12.5822657647059, 1.06547927946875e-10, 5.26987756238366e-11
12.711172, 1.01558259642302e-10, 4.39093993542106e-11
12.8420313714286, 9.49526633591068e-11, 4.10887915244405e-11
12.9748438857143, 1.05859608831807e-10, 4.85282056003445e-11
13.1076563714286, 9.83986512066438e-11, 4.2609514178008e-11
13.242422, 1.16204767515493e-10, 4.78470479123092e-11
13.37914075, 1.0270885942679e-10, 4.55694641653894e-11
13.5158595, 9.21900064012256e-11, 4.18497707261493e-11
13.6545313783784, 9.58449777720834e-11, 4.60535715948627e-11
13.7951563783784, 8.74535796575253e-11, 4.08501327992484e-11
13.9357813783784, 9.45603735387007e-11, 4.74824178823867e-11
14.0783595, 8.30335432583878e-11, 4.58556810844844e-11
14.2228907368421, 8.83779715183801e-11, 4.091267975545e-11
14.367422, 9.26571304782466e-11, 4.7023903991311e-11
14.5139063846154, 1.39531897445315e-10, 6.38658868428822e-11
14.6623438717949, 8.70364756744048e-11, 3.82693320707986e-11
14.8127345, 7.75433149252705e-11, 3.44989286597013e-11
14.96507825, 7.84256939029458e-11, 3.45045140780658e-11
15.117422, 7.68401996847746e-11, 3.31943625201691e-11
15.2717188780488, 7.96222682843621e-11, 3.56359254030184e-11
15.4279688780488, 7.79426152072921e-11, 3.43561494834638e-11
15.586172, 7.3715001339574e-11, 3.04597684168402e-11
15.7463282380952, 7.43637459032883e-11, 3.23303094798308e-11
15.9064845, 7.65243551067012e-11, 3.68849217040793e-11
